product_id,product_name,category
1,Product[i],Sports
2,Product[i],Office
3,Product[i],Clothing
4,Product[i],Office
5,Product[i],Office
6,Product[i],Home
7,Product[i],Clothing
8,Product[i],Clothing
9,Product[i],Clothing
10,Product[i],Office
11,Product[i],Sports
12,Product[i],Clothing
13,Product[i],Office
14,Product[i],Home
15,Product[i],Sports
16,Product[i],Home
17,Product[i],Sports
18,Product[i],Office
19,Product[i],Electronics
20,Product[i],Sports
21,Product[i],Home
22,Product[i],Office
23,Product[i],Sports
24,Product[i],Electronics
25,Product[i],Electronics
26,Product[i],Clothing
27,Product[i],Clothing
28,Product[i],Home
29,Product[i],Sports
30,Product[i],Sports
31,Product[i],Clothing
32,Product[i],Sports
33,Product[i],Sports
34,Product[i],Electronics
35,Product[i],Clothing
36,Product[i],Office
37,Product[i],Clothing
38,Product[i],Office
39,Product[i],Electronics
40,Product[i],Home
41,Product[i],Sports
42,Product[i],Electronics
43,Product[i],Sports
44,Product[i],Home
45,Product[i],Home
46,Product[i],Electronics
47,Product[i],Home
48,Product[i],Office
49,Product[i],Home
50,Product[i],Sports
